Index,Date,Time,Counter,FbLoad,Lvdt1,Lvdt2,Force(kN),Potm,LVDT1,LVDT2,Chain,Stress [MPa],Strain Ax. [%],Strain Ax [-],Strain Rad. [%],Strain Vol. [%],Gemidd,IFlow,IPress,IVol,FlowA,PressA,VolA,FlowB,PressB,VolB
235,44728.46662,234.224048,58228276,6.776803,0.212859,0.21739,7.494144,1.937682,-0.786,-0.781072,19.912166,10.457269,0.001297,0.00001297,0,0.001297,-0.784197,0.02281,100,78.3207,0,7.9,42.4425,0,1.9,30.2995
236,44728.46663,235.224048,58228277,6.936654,0.214752,0.218938,7.282353,1.936696,-0.787493,-0.784063,19.912166,10.50838,0.001805,0.00001805,0,0.001805,-0.784933,0.02255,100,78.3203,0,7.8,42.4425,0,1.9,30.2995
237,44728.46664,236.224048,58228278,6.835764,0.214464,0.218358,7.218858,1.935709,-0.788198,-0.784523,19.912166,10.310382,0.000064,0.00000064,0,0.000064,-0.786009,0.02241,100,78.32,0,7.8,42.4425,0,1.9,30.2995
238,44728.46666,237.224048,58228279,6.982256,0.215377,0.219392,7.420219,1.936696,-0.786172,-0.782288,19.912166,10.529292,0.002237,0.00002237,0,0.002237,-0.784128,0.02232,100,78.3196,0,7.9,42.4425,0,1.9,30.2995
239,44728.46667,238.224048,58228280,6.90073,0.214653,0.218641,7.454791,1.937682,-0.786168,-0.781927,19.912166,10.505768,0.002098,0.00002098,0,0.002098,-0.784104,0.02169,100,78.3193,0,7.8,42.4425,0,1.9,30.2995
240,44728.46668,239.224048,58228281,6.92935,0.214808,0.218893,7.498722,1.937682,-0.785675,-0.781565,19.912166,10.615206,0.002721,0.00002721,0,0.002721,-0.78346,0.0214,100,78.3191,0,7.8,42.4425,0,1.9,30.2995
241,44728.46669,240.224048,58228282,6.888,0.214724,0.218773,7.421738,1.937682,-0.786165,-0.782058,19.912166,10.52301,0.00217,0.0000217,0,0.00217,-0.784071,0.02114,100,78.3187,0,7.8,42.4425,0,1.9,30.2995
242,44728.4667,241.224048,58228283,6.906548,0.214703,0.218834,7.43679,1.937682,-0.786154,-0.781927,19.912166,10.520728,0.002151,0.00002151,0,0.002151,-0.784085,0.0209,100,78.3183,0,7.9,42.4425,0,1.9,30.2995
243,44728.46671,242.224048,58228284,6.865769,0.214715,0.218661,7.403344,1.937682,-0.786336,-0.782157,19.912166,10.460808,0.001837,0.00001837,0,0.001837,-0.784304,0.02076,100,78.318,0,7.8,42.4425,0,1.9,30.2995
244,44728.46673,243.224048,58228285,6.899082,0.214685,0.218857,7.459372,1.937682,-0.786241,-0.781894,19.912166,10.546402,0.002235,0.00002235,0,0.002235,-0.784026,0.02041,100,78.3177,0,7.8,42.4425,0,1.9,30.2995
245,44728.46674,244.224048,58228286,6.925452,0.214881,0.219107,7.440689,1.936696,-0.786035,-0.781696,19.912166,10.53727,0.002434,0.00002434,0,0.002434,-0.783821,0.02059,100,78.3173,0,7.8,42.4425,0,1.9,30.2995
