Index,Date,Time,Counter,FbLoad,Lvdt1,Lvdt2,Force(kN),Potm,LVDT1,LVDT2,Chain,Stress [MPa],Strain Ax. [%],Strain Ax [-],Strain Rad. [%],Strain Vol. [%],Gemidd,IFlow,IPress,IVol,FlowA,PressA,VolA,FlowB,PressB,VolB
0,44728.66546,0,58245456,-81.443398,0.111458,0.10567,0.76101,1.748351,-0.890523,-0.896511,19.912166,1.10792,-0.153633,-0.00153633,0,-0.153633,-0.893517,-0.01071,5,81.0411,0,7.7,42.4425,0,2.3,30.2995
1,44728.66546,0.679913,58245456,-81.402293,0.111601,0.105892,0.790611,1.750323,-0.889647,-0.89467,19.912166,1.101158,-0.153388,-0.00153388,0,-0.153388,-0.892923,-0.00981,5,81.0411,0,7.7,42.4425,0,2.3,30.2995
2,44728.66548,1.679913,58245457,-81.374326,0.111144,0.105323,0.801938,1.750323,-0.888909,-0.894703,19.912166,1.121157,-0.152247,-0.00152247,0,-0.152247,-0.891673,-0.00848,5,81.0411,0,7.7,42.4425,0,2.3,30.2995
3,44728.66549,2.679913,58245458,-81.306259,0.111012,0.105147,0.778565,1.749337,-0.889663,-0.895656,19.912166,1.108649,-0.152676,-0.00152676,0,-0.152676,-0.892154,-0.00894,5,81.0412,0,7.6,42.4425,0,2.3,30.2995
4,44728.6655,3.679913,58245459,-81.263812,0.111366,0.10557,0.807837,1.750323,-0.88891,-0.894046,19.912166,1.082637,-0.153587,-0.00153587,0,-0.153587,-0.892792,-0.00819,5,81.0413,0,7.6,42.4425,0,2.3,30.2995
5,44728.66551,4.679913,58245460,-81.227553,0.11051,0.104767,0.766504,1.749337,-0.890424,-0.896116,19.912166,1.115261,-0.152694,-0.00152694,0,-0.152694,-0.892476,-0.00819,5,81.0413,0,7.7,42.4425,0,2.3,30.2995
6,44728.66552,5.679913,58245461,-81.165207,0.110621,0.105062,0.765432,1.746379,-0.890671,-0.896116,19.912166,1.129316,-0.152242,-0.00152242,0,-0.152242,-0.89202,-0.00834,5,81.0414,0,7.6,42.4425,0,2.3,30.2995
7,44728.66553,6.679913,58245462,-81.100204,0.110931,0.105345,0.77276,1.749337,-0.890124,-0.896051,19.912166,1.112633,-0.152618,-0.00152618,0,-0.152618,-0.892379,-0.00825,5,81.0417,0,7.6,42.4425,0,2.3,30.2995
8,44728.66554,7.679913,58245463,-81.040307,0.111954,0.106268,0.77417,1.748351,-0.890061,-0.895295,19.912166,1.121789,-0.152104,-0.00152104,0,-0.152104,-0.892801,-0.00726,5,81.0418,0,7.7,42.4425,0,2.3,30.2995
9,44728.66556,8.679913,58245464,-81.001074,0.111783,0.106076,0.795275,1.749337,-0.889151,-0.89467,19.912166,1.128486,-0.151468,-0.00151468,0,-0.151468,-0.891824,-0.00645,5,81.0418,0,7.7,42.4425,0,2.3,30.2995
10,44728.66557,9.679913,58245465,-80.948655,0.111742,0.106188,0.792628,1.750323,-0.88914,-0.894802,19.912166,1.12603,-0.151933,-0.00151933,0,-0.151933,-0.891943,-0.00637,5,81.0419,0,7.7,42.4425,0,2.3,30.2995
11,44728.66558,10.679913,58245466,-80.891399,0.11123,0.105624,0.797943,1.749337,-0.889731,-0.89398,19.912166,1.100278,-0.153295,-0.00153295,0,-0.153295,-0.892975,-0.00489,5,81.0419,0,7.7,42.4425,0,2.3,30.2995
12,44728.66559,11.679913,58245467,-80.834491,0.11152,0.105816,0.783217,1.750323,-0.889693,-0.895689,19.912166,1.104425,-0.152621,-0.00152621,0,-0.152621,-0.892425,-0.00466,5,81.042,0,7.6,42.4425,0,2.3,30.2995
13,44728.6656,12.679913,58245468,-80.80685,0.111404,0.105653,0.785286,1.748351,-0.889119,-0.89536,19.912166,1.125544,-0.151798,-0.00151798,0,-0.151798,-0.891849,-0.00541,5,81.0422,0,7.7,42.4425,0,2.3,30.2995
14,44728.66561,13.679913,58245469,-80.734952,0.11191,0.106203,0.783033,1.750323,-0.889405,-0.895196,19.912166,1.157318,-0.150842,-0.00150842,0,-0.150842,-0.892098,-0.00558,5,81.0422,0,7.7,42.4425,0,2.3,30.2995
15,44728.66563,14.679913,58245470,-80.698836,0.111118,0.105431,0.802918,1.749337,-0.888748,-0.89467,19.912166,1.129457,-0.151588,-0.00151588,0,-0.151588,-0.891472,-0.00558,5,81.0422,0,7.6,42.4425,0,2.3,30.2995
